img_name,label,xmin,ymin,xmax,ymax
223.png,0,92,19,136,66
224.png,0,71,58,120,107
225.png,0,33,42,88,108
226.png,0,65,75,106,115
227.png,0,30,56,78,110
228.png,0,123,49,167,99
229.png,0,160,14,208,61
230.png,0,52,185,102,235
231.png,0,98,156,138,197
232.png,0,83,172,142,231
233.png,0,161,79,208,129
234.png,0,125,136,183,188
235.png,0,208,22,245,67
236.png,0,150,17,214,76
237.png,0,133,124,182,182
238.png,0,52,38,96,82
239.png,0,183,47,231,90
240.png,0,145,166,204,222
241.png,0,144,194,198,239
242.png,0,135,158,176,213
243.png,0,12,136,79,188
244.png,0,25,133,67,176
245.png,0,7,44,72,102
246.png,0,127,71,183,123
247.png,0,167,174,209,234
248.png,0,27,98,71,151
249.png,0,76,141,131,213
250.png,0,142,109,198,159
251.png,0,109,202,153,242
252.png,0,117,133,153,176
253.png,0,107,44,164,96
254.png,0,39,155,88,202
255.png,0,21,197,64,239
256.png,0,100,80,159,141
257.png,0,81,64,121,119
258.png,0,68,142,118,192
259.png,0,154,16,209,73
260.png,0,108,189,155,247
261.png,0,111,95,150,149
262.png,0,107,120,167,180
263.png,0,71,88,125,155
264.png,0,190,67,234,109
265.png,0,118,109,181,162
266.png,0,152,5,207,53
267.png,0,103,164,159,232
268.png,0,34,96,80,143
269.png,0,66,160,115,201
270.png,0,205,18,239,64
271.png,0,21,177,89,236
272.png,0,205,68,244,123
273.png,0,72,8,133,65
274.png,0,192,101,234,143
275.png,0,128,78,173,123
276.png,0,124,137,180,193
277.png,0,60,19,123,71
278.png,0,82,151,141,205
279.png,0,199,196,244,235
280.png,0,99,19,156,66
281.png,0,31,110,77,165
282.png,0,85,27,131,83
283.png,0,167,203,213,244
284.png,0,143,99,187,142
285.png,0,37,24,78,77
286.png,0,206,113,243,161
287.png,0,21,174,64,220
288.png,0,186,159,241,232
289.png,0,82,145,126,199
290.png,0,188,150,230,197
291.png,0,5,136,47,178
292.png,0,175,148,229,201
293.png,0,122,49,175,99
294.png,0,123,98,179,149
295.png,0,122,164,182,224
296.png,0,188,66,225,112
297.png,0,58,69,114,129
298.png,0,177,57,237,110
299.png,0,156,32,192,81
300.png,0,172,117,212,154
301.png,0,105,30,154,66
302.png,0,168,155,217,223
303.png,0,100,204,146,247
304.png,0,187,145,233,186
305.png,0,132,14,190,80
306.png,0,14,43,72,91
307.png,0,10,131,83,186
308.png,0,122,167,165,232
309.png,0,57,39,101,74
310.png,0,12,19,63,69
311.png,0,66,71,122,121
312.png,0,11,160,50,198
313.png,0,119,195,177,245
314.png,0,138,128,182,167
315.png,0,127,96,180,145
316.png,0,103,97,168,155
317.png,0,44,158,90,201
318.png,0,169,66,219,114
319.png,0,44,124,89,175
320.png,0,101,7,149,62
321.png,0,175,175,237,237
322.png,0,181,162,240,215
323.png,0,61,65,121,123
324.png,0,46,151,100,196
325.png,0,126,181,168,222
326.png,0,82,134,144,191
327.png,0,75,158,128,216
328.png,0,72,65,123,134
329.png,0,97,138,139,181
330.png,0,126,60,190,112
331.png,0,7,151,71,210
332.png,0,31,163,78,210
333.png,0,66,195,121,244
334.png,0,106,186,143,225
335.png,0,104,34,167,91
336.png,0,145,62,208,117
337.png,0,35,94,101,150
338.png,0,93,60,158,119
339.png,0,39,104,80,141
340.png,0,55,155,108,228
341.png,0,113,161,158,201
342.png,0,79,111,123,151
343.png,0,167,105,222,161
344.png,0,157,78,215,130
345.png,0,150,196,224,250
346.png,0,182,126,225,171
347.png,0,73,79,124,139
348.png,0,134,163,179,211
349.png,0,161,156,209,202
350.png,0,127,25,187,80
351.png,0,168,24,233,78
352.png,0,142,171,209,229
353.png,0,110,50,148,100
354.png,0,129,144,169,183
355.png,0,17,94,71,147
356.png,0,124,150,180,204
357.png,0,194,132,239,188
358.png,0,129,135,201,191
359.png,0,93,82,144,128
360.png,0,183,164,228,204
361.png,0,86,140,135,184
362.png,0,97,197,142,241
363.png,0,83,107,132,175
364.png,0,120,163,159,202
365.png,0,197,180,245,239
366.png,0,45,154,115,208
367.png,0,49,137,89,194
368.png,0,44,145,105,199
369.png,0,101,51,168,99
370.png,0,90,140,141,185
371.png,0,90,95,148,147
372.png,0,82,50,142,103
373.png,0,144,73,193,118
374.png,0,19,36,57,93
375.png,0,109,32,141,77
376.png,0,139,108,183,151
377.png,0,173,191,210,242
378.png,0,110,153,155,202
379.png,0,125,17,173,67
380.png,0,115,48,155,84
381.png,0,98,37,138,84
382.png,0,54,30,121,77
383.png,0,8,70,64,114
384.png,0,103,75,161,126
385.png,0,53,26,117,74
386.png,0,59,53,111,117
387.png,0,194,183,244,236
388.png,0,107,126,153,165
389.png,0,138,57,193,110
390.png,0,39,137,94,183
391.png,0,175,19,215,74
392.png,0,56,132,102,194
393.png,0,56,147,105,191
394.png,0,84,69,131,111
395.png,0,185,6,231,63
396.png,0,44,64,92,104
397.png,0,82,171,128,225
398.png,0,84,158,149,219
399.png,0,19,119,73,168
400.png,0,135,76,181,118
401.png,0,95,46,135,93
402.png,0,77,152,114,197
403.png,0,139,36,181,71
404.png,0,99,150,165,209
405.png,0,112,29,179,88
406.png,0,173,146,240,205
407.png,0,35,55,91,102
408.png,0,75,16,114,54
409.png,0,26,186,90,247
410.png,0,68,82,120,131
411.png,0,137,201,194,249
412.png,0,130,71,191,131
413.png,0,50,128,112,176
414.png,0,88,8,125,48
415.png,0,107,152,156,199
416.png,0,85,130,133,211
417.png,0,78,170,135,220
418.png,0,174,200,219,241
419.png,0,186,97,225,138
420.png,0,68,143,130,194
421.png,0,31,27,89,77
422.png,0,42,108,95,161
423.png,0,132,130,195,182
424.png,0,59,26,122,78
425.png,0,109,52,162,101
426.png,0,153,158,208,227
427.png,0,82,60,129,96
428.png,0,32,25,93,76
429.png,0,56,90,102,153
430.png,0,151,71,203,134
431.png,0,147,196,193,249
432.png,0,54,52,104,107
433.png,0,14,112,57,165
434.png,0,93,111,135,154
435.png,0,125,181,186,245
436.png,0,101,144,160,203
437.png,0,162,130,205,170
438.png,0,147,151,194,200
439.png,0,29,157,81,221
440.png,0,100,86,151,130
441.png,0,80,85,145,138
442.png,0,36,90,104,146
443.png,0,32,95,87,158
444.png,0,123,51,182,106
445.png,0,140,114,190,169
446.png,0,146,121,193,163
447.png,0,120,121,173,184
448.png,0,171,189,232,244
449.png,0,75,175,139,236
450.png,0,153,118,199,168
451.png,0,172,11,222,64
452.png,0,183,90,229,129
453.png,0,105,193,152,236
454.png,0,96,63,137,108
455.png,0,212,39,243,89
456.png,0,135,28,192,78
457.png,0,96,84,143,134
458.png,0,21,105,92,159
459.png,0,24,63,67,129
460.png,0,89,167,150,218
461.png,0,30,20,65,62
462.png,0,75,183,120,244
463.png,0,73,29,133,85
464.png,0,106,34,161,81
465.png,0,136,43,176,91
466.png,0,151,103,202,161
467.png,0,54,71,98,110
468.png,0,50,20,106,61
469.png,0,96,120,164,177
470.png,0,128,116,187,165
471.png,0,145,65,200,133
472.png,0,36,58,94,112
473.png,0,56,96,101,131
474.png,0,50,162,113,218
475.png,0,174,167,221,208
476.png,0,94,130,141,171
477.png,0,24,16,58,59
478.png,0,147,131,203,174
479.png,0,112,152,147,199
480.png,0,87,195,142,244
481.png,0,35,144,72,189
482.png,0,13,58,68,110
483.png,0,134,71,180,118
484.png,0,23,64,93,115
485.png,0,82,65,113,114
486.png,0,152,58,205,128
487.png,0,61,92,101,142
488.png,0,165,110,226,168
489.png,0,179,167,231,238
490.png,0,156,54,212,108
491.png,0,83,77,136,116
492.png,0,72,51,129,102
493.png,0,118,68,182,129
494.png,0,171,84,226,125
495.png,0,60,89,109,126
496.png,0,74,146,122,189
497.png,0,8,34,51,80
498.png,0,113,186,166,238
499.png,0,85,138,145,192
500.png,0,128,104,193,158
501.png,0,150,31,196,72
502.png,0,33,134,88,194
503.png,0,144,140,197,205
504.png,0,152,19,220,78
505.png,0,164,66,213,112
506.png,0,20,96,79,150
507.png,0,145,209,182,249
508.png,0,104,77,163,135
509.png,0,21,17,82,68
510.png,0,61,91,115,143
511.png,0,52,124,94,169
512.png,0,73,39,136,90
513.png,0,86,127,150,188
514.png,0,165,82,215,125
515.png,0,167,62,232,113
516.png,0,65,54,115,121
517.png,0,173,96,216,134
518.png,0,120,136,178,187
519.png,0,25,118,84,170
520.png,0,29,103,73,145
521.png,0,93,170,140,218
522.png,0,18,58,63,112
523.png,0,49,134,94,180
524.png,0,112,16,171,83
525.png,0,119,189,172,241
526.png,0,57,143,100,182
527.png,0,66,68,111,110
528.png,0,165,160,209,207
529.png,0,141,110,199,166
530.png,0,33,73,88,144
531.png,0,191,26,234,89
532.png,0,145,12,198,61
533.png,0,109,149,173,210
534.png,0,42,164,88,229
535.png,0,115,181,150,230
536.png,0,145,182,206,247
537.png,0,20,107,76,158
538.png,0,48,193,114,243
539.png,0,110,205,148,245
540.png,0,87,109,138,167
541.png,0,39,13,92,69
542.png,0,167,133,218,205
543.png,0,182,125,241,180
544.png,0,182,18,227,66
545.png,0,57,119,96,160
546.png,0,17,41,58,77
547.png,0,192,6,240,66
548.png,0,184,22,244,84
549.png,0,103,72,167,119
550.png,0,183,184,229,233
551.png,0,25,191,70,246
552.png,0,139,176,186,220
553.png,0,93,28,133,75
554.png,0,30,140,82,191
555.png,0,67,94,123,143
556.png,0,82,212,130,249
557.png,0,80,144,122,185
558.png,0,11,113,72,165
559.png,0,107,94,144,140
560.png,0,29,145,96,203
561.png,0,16,47,82,97
562.png,0,17,21,62,76
563.png,0,9,10,70,62
564.png,0,17,87,78,131
565.png,0,34,103,84,148
566.png,0,8,169,51,205
567.png,0,50,109,84,155
568.png,0,105,86,161,138
569.png,0,65,73,104,122
570.png,0,57,94,116,152
571.png,0,35,111,84,155
572.png,0,162,15,211,65
573.png,0,38,72,92,137
574.png,0,191,55,239,97
575.png,0,22,159,77,206
576.png,0,16,55,79,113
577.png,0,149,107,199,177
578.png,0,185,171,219,229
579.png,0,106,57,173,111
580.png,0,156,188,195,230
581.png,0,153,183,203,244
582.png,0,126,22,171,76
583.png,0,107,45,157,89
584.png,0,10,70,60,113
585.png,0,127,162,186,210
586.png,0,102,7,146,44
587.png,0,25,142,83,208
588.png,0,159,77,211,148
589.png,0,65,149,109,194
590.png,0,15,118,80,176
591.png,0,191,48,226,98
592.png,0,26,120,71,176
593.png,0,89,58,141,123
594.png,0,181,88,249,142
595.png,0,20,11,69,76
596.png,0,158,63,210,136
597.png,0,143,38,191,105
598.png,0,137,6,198,62
599.png,0,85,210,137,249
600.png,0,60,98,109,158
601.png,0,146,131,194,182
602.png,0,157,154,201,214
603.png,0,166,161,204,201
604.png,0,202,119,241,160
605.png,0,90,82,137,129
606.png,0,134,139,189,185
607.png,0,181,172,215,218
608.png,0,36,167,95,235
609.png,0,147,169,204,239
610.png,0,151,188,202,231
611.png,0,5,19,47,54
612.png,0,174,29,228,76
613.png,0,15,162,57,199
614.png,0,105,8,153,63
615.png,0,167,115,220,160
616.png,0,64,73,107,117
617.png,0,77,34,125,112
618.png,0,21,20,63,59
619.png,0,187,146,240,213
620.png,0,39,115,91,159
621.png,0,189,78,225,129
622.png,0,85,17,134,83
623.png,0,91,16,143,63
624.png,0,116,87,163,124
625.png,0,109,93,169,148
626.png,0,145,169,182,221
627.png,0,72,186,117,242
628.png,0,169,113,207,151
629.png,0,140,84,177,129
630.png,0,171,38,216,86
631.png,0,8,11,63,74
632.png,0,60,128,108,169
633.png,0,129,163,187,227
634.png,0,171,6,226,62
635.png,0,75,125,133,190
636.png,0,152,69,214,131
637.png,0,6,136,53,193
638.png,0,12,104,70,155
639.png,0,49,90,93,129
640.png,0,139,48,186,88
641.png,0,156,149,195,203
642.png,0,140,21,194,79
643.png,0,61,43,115,81
644.png,0,181,154,221,191
645.png,0,156,31,203,78
646.png,0,59,116,114,168
647.png,0,123,12,167,50
648.png,0,78,142,135,193
649.png,0,66,12,122,58
650.png,0,185,94,246,151
651.png,0,152,148,211,199
652.png,0,168,7,211,56
653.png,0,50,101,105,161
654.png,0,161,127,221,179
655.png,0,11,46,79,101
656.png,0,79,45,145,94
657.png,0,102,22,160,74
658.png,0,34,12,85,66
659.png,0,20,118,69,189
660.png,0,139,49,193,99
661.png,0,171,73,223,121
662.png,0,60,189,106,222
663.png,0,115,122,167,167
664.png,0,115,134,170,188
665.png,0,181,149,238,217
666.png,0,172,10,229,68
667.png,0,164,88,231,145
668.png,0,148,62,207,119
669.png,0,195,112,249,154
670.png,0,70,33,115,76
671.png,0,149,89,208,147
672.png,0,144,128,208,181
673.png,0,135,170,179,241
674.png,0,135,56,187,111
675.png,0,169,103,225,158
676.png,0,149,21,198,72
677.png,0,202,133,244,176
678.png,0,69,168,127,234
679.png,0,185,131,237,180
680.png,0,47,175,109,226
681.png,0,18,191,84,250
682.png,0,33,10,74,58
683.png,0,65,25,121,75
684.png,0,85,7,133,57
685.png,0,86,143,135,208
686.png,0,169,182,217,225
687.png,0,73,33,122,73
688.png,0,33,53,92,105
689.png,0,129,56,174,97
690.png,0,11,71,51,109
691.png,0,39,107,90,154
692.png,0,58,115,93,158
693.png,0,54,21,109,68
694.png,0,178,53,222,98
695.png,0,180,155,229,199
696.png,0,175,98,214,138
697.png,0,113,63,178,121
698.png,0,57,9,108,57
699.png,0,135,73,175,125
700.png,0,139,142,187,194
701.png,0,30,152,87,221
702.png,0,6,19,61,66
703.png,0,197,184,238,220
704.png,0,93,72,127,117
705.png,0,140,93,189,135
706.png,0,169,23,220,64
707.png,0,133,89,176,126
708.png,0,47,65,102,117
709.png,0,104,48,160,106
710.png,0,66,13,115,57
711.png,0,187,140,248,193
712.png,0,175,25,241,81
713.png,0,185,42,226,93
714.png,0,60,113,117,172
715.png,0,146,145,201,195
716.png,0,118,170,167,222
717.png,0,156,118,228,173
718.png,0,80,106,142,166
719.png,0,182,165,232,215
720.png,0,92,78,136,120
721.png,0,88,117,152,173
722.png,0,144,80,206,140
723.png,0,189,115,244,171
724.png,0,83,159,152,217
725.png,0,147,147,206,196
726.png,0,61,169,115,208
727.png,0,36,125,93,176
728.png,0,172,172,219,238
729.png,0,77,14,134,75
730.png,0,84,86,130,126
731.png,0,14,59,70,106
732.png,0,55,149,117,193
733.png,0,65,34,109,78
734.png,0,115,55,165,112
735.png,0,157,72,218,134
736.png,0,79,37,121,78
737.png,0,124,60,187,116
738.png,0,106,190,151,235
739.png,0,48,13,109,70
740.png,0,172,106,221,147
741.png,0,7,167,47,208
742.png,0,156,202,192,245
743.png,0,21,50,73,114
744.png,0,29,89,77,155
745.png,0,28,89,77,126
746.png,0,102,163,149,209
747.png,0,22,83,71,144
748.png,0,84,183,131,229
749.png,0,100,34,136,79
750.png,0,149,98,219,155
751.png,0,196,13,246,75
752.png,0,191,115,240,180
753.png,0,35,77,96,130
754.png,0,192,112,246,161
755.png,0,166,12,209,47
756.png,0,147,76,184,128
757.png,0,48,166,102,240
758.png,0,94,21,154,72
759.png,0,200,106,247,149
760.png,0,86,142,135,183
761.png,0,52,162,99,232
762.png,0,73,90,122,156
763.png,0,155,107,199,147
764.png,0,13,127,86,179
765.png,0,104,177,155,226
766.png,0,34,74,97,128
767.png,0,63,145,123,196
768.png,0,108,149,173,210
769.png,0,23,13,66,60
770.png,0,89,80,138,146
771.png,0,146,162,204,210
772.png,0,114,133,170,194
773.png,0,10,182,62,232
774.png,0,126,100,179,148
775.png,0,89,61,142,115
776.png,0,52,194,106,242
777.png,0,86,166,144,228
778.png,0,163,37,224,92
779.png,0,158,59,224,113
780.png,0,142,42,213,95
781.png,0,98,137,148,179
782.png,0,18,104,57,143
783.png,0,137,166,177,205
784.png,0,152,136,209,191
785.png,0,107,11,142,54
786.png,0,51,51,114,104
787.png,0,36,31,93,91
788.png,0,106,25,146,71
789.png,0,137,16,203,71
790.png,0,112,52,150,100
791.png,0,130,35,194,88
792.png,0,171,177,227,230
793.png,0,32,33,71,80
794.png,0,154,163,192,203
795.png,0,113,192,173,244
796.png,0,137,78,196,138
797.png,0,58,181,116,236
798.png,0,48,15,91,67
799.png,0,157,91,213,142
800.png,0,87,153,139,197
801.png,0,137,17,171,67
802.png,0,7,162,52,207
803.png,0,5,41,63,96
804.png,0,110,28,159,64
805.png,0,185,114,227,155
806.png,0,5,53,52,98
807.png,0,104,35,150,97
808.png,0,6,114,47,152
809.png,0,176,93,237,147
810.png,0,17,51,50,105
811.png,0,163,160,204,196
812.png,0,157,178,201,231
813.png,0,66,81,107,127
814.png,0,45,36,94,87
815.png,0,199,176,244,216
816.png,0,153,129,223,180
817.png,0,59,49,105,89
818.png,0,13,143,68,197
819.png,0,11,56,73,104
820.png,0,177,102,228,157
821.png,0,53,118,104,181
822.png,0,191,99,234,171
823.png,0,134,187,193,243
824.png,0,14,151,85,202
825.png,0,181,113,241,167
826.png,0,39,19,87,63
827.png,0,137,39,186,79
828.png,0,183,48,239,95
829.png,0,196,24,234,82
830.png,0,53,74,115,125
831.png,0,156,55,212,106
832.png,0,156,185,206,230
833.png,0,44,53,81,104
834.png,0,79,71,134,120
835.png,0,126,193,180,243
836.png,0,91,187,135,250
837.png,0,13,47,67,98
838.png,0,50,32,114,91
839.png,0,30,57,70,104
840.png,0,133,170,201,227
841.png,0,76,133,127,182
842.png,0,27,109,92,163
843.png,0,31,15,81,66
844.png,0,67,180,125,247
845.png,0,107,191,154,242
846.png,0,134,146,179,215
847.png,0,28,111,95,166
848.png,0,43,100,93,154
849.png,0,32,58,82,99
850.png,0,175,141,219,204
851.png,0,148,159,203,232
852.png,0,192,171,250,231
853.png,0,170,148,218,197
854.png,0,7,100,53,164
855.png,0,182,119,245,167
856.png,0,66,178,115,225
857.png,0,74,67,119,106
858.png,0,148,12,210,73
859.png,0,95,54,152,101
860.png,0,28,177,75,219
861.png,0,162,200,212,247
862.png,0,132,164,190,222
863.png,0,199,170,238,215
864.png,0,28,169,68,209
865.png,0,83,70,136,134
866.png,0,96,197,131,240
867.png,0,74,79,139,137
868.png,0,108,119,156,168
869.png,0,53,23,96,69
870.png,0,21,120,79,176
871.png,0,56,32,125,89
872.png,0,168,125,233,179
873.png,0,190,110,247,178
874.png,0,40,167,104,225
875.png,0,197,122,242,187
876.png,0,43,212,85,247
877.png,0,81,168,128,216
878.png,0,127,60,171,120
879.png,0,91,31,144,82
880.png,0,110,189,155,229
881.png,0,138,19,196,72
882.png,0,122,36,158,78
883.png,0,99,122,156,181
884.png,0,135,80,194,124
885.png,0,136,57,186,103
886.png,0,177,155,239,207
887.png,0,25,148,87,203
888.png,0,159,195,224,250
889.png,0,155,151,203,198
890.png,0,173,172,223,230
891.png,0,113,158,152,214
892.png,0,147,93,208,148
893.png,0,142,112,185,164
894.png,0,97,57,160,121
895.png,0,99,145,160,199
896.png,0,75,52,130,115
897.png,0,91,143,149,202
898.png,0,50,12,111,66
899.png,0,90,144,135,198
900.png,0,188,167,244,226
901.png,0,62,54,100,107
902.png,0,102,168,153,238
903.png,0,15,152,62,195
904.png,0,152,27,206,82
905.png,0,124,15,168,70
906.png,0,68,66,132,122
907.png,0,43,98,103,161
908.png,0,104,54,145,98
909.png,0,138,94,184,136
910.png,0,145,87,194,135
911.png,0,78,163,119,230
912.png,0,77,139,116,179
913.png,0,118,46,155,96
914.png,0,186,165,232,207
915.png,0,160,175,199,215
916.png,0,53,111,108,161
917.png,0,154,57,206,106
918.png,0,11,185,69,238
919.png,0,14,67,76,130
920.png,0,169,65,225,125
921.png,0,113,102,164,156
922.png,0,162,160,207,215
923.png,0,68,177,107,219
924.png,0,173,78,221,139
925.png,0,99,116,154,177
926.png,0,109,180,165,232
927.png,0,159,84,203,129
928.png,0,97,162,133,202
929.png,0,126,100,184,158
930.png,0,99,27,140,64
931.png,0,152,123,198,164
932.png,0,44,97,99,144
933.png,0,24,142,72,187
934.png,0,96,187,159,237
935.png,0,20,42,71,112
936.png,0,23,145,56,191
937.png,0,104,128,161,185
938.png,0,72,88,118,123
939.png,0,129,49,176,87
940.png,0,141,75,190,126
941.png,0,87,121,130,158
942.png,0,186,123,222,167
943.png,0,48,191,104,245
944.png,0,80,127,123,169
945.png,0,87,82,134,148
946.png,0,151,58,188,98
947.png,0,87,11,154,69
948.png,0,137,16,202,73
949.png,0,31,108,82,157
950.png,0,25,79,82,135
951.png,0,156,23,205,85
952.png,0,132,105,180,148
953.png,0,133,128,181,173
954.png,0,111,156,167,211
955.png,0,199,57,236,102
956.png,0,84,14,131,57
957.png,0,152,191,194,226
958.png,0,90,83,142,156
959.png,0,34,73,84,116
960.png,0,90,30,141,75
961.png,0,160,80,205,125
962.png,0,46,188,90,230
963.png,0,173,65,237,119
964.png,0,56,107,94,170
965.png,0,54,134,109,193
966.png,0,84,104,132,145
967.png,0,44,166,113,223
968.png,0,95,136,140,181
969.png,0,101,151,161,210
970.png,0,55,14,106,61
971.png,0,106,78,150,119
972.png,0,25,31,73,105
973.png,0,92,119,150,162
974.png,0,124,128,160,172
975.png,0,73,165,116,206
976.png,0,169,19,221,60
977.png,0,114,136,181,189
978.png,0,13,20,45,72
979.png,0,25,97,65,136
980.png,0,25,52,94,101
981.png,0,30,52,88,107
982.png,0,37,8,87,61
983.png,0,112,198,158,237
984.png,0,146,137,201,186
985.png,0,29,118,73,173
986.png,0,10,132,66,184
987.png,0,126,22,181,71
988.png,0,134,88,191,153
989.png,0,133,27,168,71
990.png,0,184,21,245,83
991.png,0,56,111,106,155
992.png,0,36,183,96,238
993.png,0,99,142,158,197
994.png,0,114,155,158,194
995.png,0,171,101,214,147
